animal_id;data_nasc;sexo;grupo;data_peso_anterior;peso_anterior;data_peso_atual;peso_atual
PT035928645;01-01-2025;F;TROLHO79;23-07-2025;236;27-01-2026;465
PT035928669;12-11-2024;F;TROLHO81;26-06-2025;278;27-01-2026;506
PT035928683;04-12-2024;F;TROLHO79;26-06-2025;204;27-01-2026;421
PT035928688;10-12-2024;F;TROLHO79;26-06-2025;202;27-01-2026;406
PT035928701;01-01-2025;F;TROLHO79;26-06-2025;230;27-01-2026;479
PT035928706;01-01-2025;M;TROLHO19;26-06-2025;212;26-01-2026;498
PT035928725;05-11-2024;F;TROLHO81;23-07-2025;186;27-01-2026;390
PT035928744;11-11-2024;M;TROLHO14;23-07-2025;254;26-01-2026;530
PT035928749;16-11-2024;F;TROLHO79;23-07-2025;218;27-01-2026;439
PT035928763;02-12-2024;M;TROLHO14;23-07-2025;256;26-01-2026;520
PT035928768;11-12-2024;F;TROLHO79;23-07-2025;234;27-01-2026;452
PT035928782;15-11-2024;M;TROLHO4;22-08-2025;270;06-11-2025;389
PT035928787;17-11-2024;M;TROLHO19;22-08-2025;242;26-01-2026;502
PT035928800;26-11-2024;M;TROLHO19;22-08-2025;240;26-01-2026;510
PT035928805;02-12-2024;M;TROLHO19;22-08-2025;254;26-01-2026;498
PT035929272;16-12-2024;M;TROLHO16;23-07-2025;190;28-01-2026;420
PT035929277;02-01-2025;F;TROLHO79;23-07-2025;208;27-01-2026;396
PT035929291;30-01-2025;M;TROLHO16;23-07-2025;214;28-01-2026;500
PT035929314;02-05-2025;M;TROLHO18;27-10-2025;169;27-01-2026;300
PT035929871;06-03-2025;M;MRUIVO22;12-11-2025;210;28-11-2025;214
PT035929876;09-03-2025;F;MRUIVO13;12-11-2025;203;05-12-2025;212
PT035931713;01-06-2025;M;TROLHO18;31-10-2025;185;27-01-2026;304
PT035931718;01-06-2025;F;TROLHO89;31-10-2025;214;26-01-2026;320
PT035937598;30-12-2024;M;TROLHO13;10-10-2025;282;27-01-2026;434
PT035948228;19-03-2025;F;MRUIVO12;13-01-2026;324;13-01-2026;324
PT035949294;05-04-2025;F;MRUIVO12;13-01-2026;312;13-01-2026;312
PT035949676;28-03-2025;M;MRUIVO21;19-01-2026;382;19-01-2026;382
PT035949690;15-06-2025;M;MRUIVO21;19-01-2026;239;19-01-2026;239
PT035949732;05-04-2025;F;MRUIVO14;19-12-2025;201;06-01-2026;212
PT035955573;10-03-2025;M;MRUIVO17;12-12-2025;192;06-01-2026;233
PT035955578;11-03-2025;F;MRUIVO14;12-12-2025;209;06-01-2026;254
PT035956266;15-02-2025;M;MRUIVO17;12-12-2025;254;06-01-2026;284
PT035956285;02-04-2025;F;MRUIVO14;12-12-2025;204;06-01-2026;235
PT035957275;25-03-2025;M;TROLHO11;14-10-2025;217;28-01-2026;336
PT035959274;16-03-2025;M;MRUIVO26;14-11-2025;216;05-12-2025;244
PT035959279;31-03-2025;M;MRUIVO26;14-11-2025;229;05-12-2025;269
PT035959293;29-06-2025;M;MRUIVO26;14-11-2025;166;05-12-2025;182
PT035959298;30-06-2025;M;MRUIVO26;14-11-2025;195;05-12-2025;230
PT035959472;08-06-2025;M;MRUIVO21;19-01-2026;281;19-01-2026;281
PT035959491;09-06-2025;M;MRUIVO21;19-01-2026;291;19-01-2026;291
PT035959977;15-03-2025;F;MRUIVO12;13-01-2026;318;13-01-2026;318
PT035960169;30-01-2025;M;MRUIVO15;24-12-2025;274;14-01-2026;284
PT035968788;16-04-2025;F;MRUIVO14;17-12-2025;260;06-01-2026;300
PT035970125;25-04-2025;M;MRUIVO21;19-01-2026;316;19-01-2026;316
PT035970625;03-03-2025;M;MRUIVO16;19-01-2026;310;19-01-2026;310
PT035971016;11-04-2025;F;MRUIVO12;13-01-2026;319;13-01-2026;319
PT035971073;05-02-2025;M;MRUIVO22;17-11-2025;276;28-11-2025;304
PT035971078;12-03-2025;F;MRUIVO12;13-01-2026;315;13-01-2026;315
PT035971318;10-05-2025;F;MRUIVO12;13-01-2026;307;13-01-2026;307
PT035971337;11-05-2025;F;MRUIVO12;13-01-2026;272;13-01-2026;272
PT035972407;18-02-2025;F;MRUIVO12;13-01-2026;348;13-01-2026;348
PT035972440;17-05-2025;M;MRUIVO16;20-01-2026;258;20-01-2026;258
PT035972464;13-05-2025;M;MRUIVO16;19-01-2026;261;19-01-2026;261
PT035972483;08-05-2025;M;MRUIVO20;20-01-2026;209;20-01-2026;209
PT035972488;05-04-2025;F;MRUIVO12;13-01-2026;274;13-01-2026;274
PT035973676;24-03-2025;M;MRUIVO21;19-01-2026;310;19-01-2026;310
PT035977495;01-01-2025;M;TROLHO18;11-07-2025;242;28-01-2026;494
PT035977537;30-01-2025;F;TROLHO90;01-08-2025;238;26-01-2026;468
PT035977551;06-02-2025;M;TROLHO2;01-08-2025;216;26-01-2026;440
PT035977556;01-01-2025;M;TROLHO10;22-08-2025;264;28-01-2026;478
PT035977570;16-01-2025;M;TROLHO19;22-08-2025;214;26-01-2026;454
PT035978220;31-03-2025;F;MRUIVO10;05-12-2025;205;22-12-2025;235
PT035978225;24-04-2025;F;MRUIVO10;05-12-2025;208;22-12-2025;229
PT035978404;29-01-2025;F;TROLHO79;26-06-2025;188;27-01-2026;417
PT035978423;05-03-2025;F;TROLHO60;29-09-2025;190;26-01-2026;297
PT035978428;05-03-2025;F;TROLHO89;29-09-2025;204;26-01-2026;340
PT035978466;07-02-2025;M;TROLHO2;09-07-2025;180;26-01-2026;450
PT035978480;20-02-2025;F;TROLHO79;09-07-2025;126;27-01-2026;370
PT035978485;05-03-2025;M;TROLHO2;09-07-2025;162;26-01-2026;456
PT035982802;05-05-2025;F;MRUIVO12;16-01-2026;279;16-01-2026;279
PT035982807;05-05-2025;M;MRUIVO21;16-01-2026;307;16-01-2026;307
PT035982821;21-05-2025;M;MRUIVO17;05-12-2025;190;06-01-2026;234
PT035983632;24-01-2025;F;TROLHO79;23-07-2025;212;27-01-2026;400
PT035983656;09-04-2025;M;TROLHO8;06-10-2025;236;26-01-2026;416
PT035983731;10-02-2025;M;TROLHO15;20-10-2025;172;26-01-2026;288
PT035983736;30-04-2025;M;TROLHO2;01-08-2025;242;26-01-2026;480
PT035983750;27-03-2025;F;TROLHO89;20-10-2025;232;26-01-2026;348
PT035983811;28-01-2025;F;TROLHO90;07-08-2025;214;26-01-2026;452
PT035983830;10-02-2025;F;TROLHO79;11-07-2025;132;27-01-2026;366
PT035983854;14-05-2025;M;TROLHO2;07-08-2025;190;26-01-2026;430
PT035983859;05-03-2025;M;TROLHO8;10-07-2025;132;26-01-2026;428
PT035983934;27-03-2025;M;TROLHO19;22-08-2025;170;26-01-2026;388
PT035983939;08-04-2025;M;TROLHO8;06-10-2025;220;26-01-2026;368
PT035984085;05-03-2025;F;TROLHO60;06-10-2025;206;26-01-2026;350
PT035984103;30-04-2025;F;TROLHO60;06-10-2025;192;26-01-2026;311
PT035984882;07-04-2025;F;TROLHO89;24-10-2025;246;26-01-2026;374
PT035984887;10-04-2025;M;TROLHO9;24-10-2025;203;27-01-2026;314
PT035984905;05-06-2025;F;MRUIVO10;31-12-2025;227;23-01-2026;245
PT035984924;08-08-2025;F;MRUIVO10;31-12-2025;185;23-01-2026;204
PT035986022;20-02-2025;M;MRUIVO26;19-11-2025;222;05-12-2025;263
PT035986027;28-04-2025;M;MRUIVO26;19-11-2025;201;05-12-2025;232
PT035989856;25-04-2025;F;MRUIVO12;13-01-2026;241;13-01-2026;241
PT035989931;16-04-2025;M;MRUIVO15;24-12-2025;200;14-01-2026;247
PT035990500;23-02-2025;M;TROLHO15;17-10-2025;204;26-01-2026;306
PT035990543;08-07-2025;M;MRUIVO20;20-01-2026;194;20-01-2026;194
PT035990789;22-01-2025;F;MRUIVO10;31-12-2025;244;23-01-2026;244
PT036018116;28-02-2025;M;MRUIVO16;19-01-2026;321;19-01-2026;321
PT036019583;14-02-2025;M;MRUIVO16;19-01-2026;309;19-01-2026;309
PT036021949;13-04-2025;M;MRUIVO17;10-12-2025;292;06-01-2026;335
PT036021963;04-05-2025;F;MRUIVO10;10-12-2025;190;22-12-2025;192
PT036021968;19-05-2025;M;MRUIVO17;10-12-2025;273;06-01-2026;303
PT036024631;29-12-2024;F;MRUIVO14;12-12-2025;177;06-01-2026;196
PT036027984;17-03-2025;M;TROLHO18;26-09-2025;190;27-01-2026;344
PT036028110;17-06-2025;F;TROLHO89;26-09-2025;194;26-01-2026;318
PT036029520;16-04-2025;M;MRUIVO21;19-01-2026;277;19-01-2026;277
PT036032655;24-03-2025;M;MRUIVO15;17-12-2025;333;14-01-2026;376
PT036032674;13-05-2025;M;MRUIVO15;17-12-2025;173;14-01-2026;206
PT036032679;15-06-2025;F;MRUIVO14;17-12-2025;279;06-01-2026;300
PT036034470;26-07-2025;M;ENF, TR FRISIOS;30-12-2025;213;22-01-2026;252
PT036034475;27-07-2025;M;ENF, TR FRISIOS;30-12-2025;228;22-01-2026;263
PT036037162;17-07-2025;M;MRUIVO19;31-12-2025;209;23-01-2026;246
PT036040650;07-07-2025;M;MRUIVO21;20-01-2026;218;20-01-2026;218
PT036040655;06-08-2025;F;MRUIVO12;13-01-2026;225;13-01-2026;225
PT036040730;24-03-2025;M;MRUIVO21;19-01-2026;239;19-01-2026;239
PT036041725;15-07-2025;F;MRUIVO12;13-01-2026;316;13-01-2026;316
PT036042215;24-03-2025;M;MRUIVO16;20-01-2026;327;20-01-2026;327
PT036043507;12-03-2025;F;MRUIVO12;13-01-2026;326;13-01-2026;326
PT036043521;18-04-2025;M;MRUIVO21;19-01-2026;276;19-01-2026;276
PT036043644;30-04-2025;F;MRUIVO9;20-01-2026;187;20-01-2026;187
PT036043700;07-04-2025;M;MRUIVO20;20-01-2026;208;20-01-2026;208
PT036043724;26-03-2025;M;MRUIVO16;20-01-2026;287;20-01-2026;287
PT036043767;03-04-2025;M;MRUIVO16;19-01-2026;375;19-01-2026;375
PT036044356;08-04-2025;F;MRUIVO12;13-01-2026;346;13-01-2026;346
PT036047609;21-04-2025;M;MRUIVO18;28-11-2025;137;22-12-2025;148
PT036050333;04-03-2025;M;TROLHO15;03-10-2025;201;26-01-2026;360
PT036050970;21-02-2025;F;MRUIVO13;19-11-2025;208;05-12-2025;238
PT036050975;25-02-2025;M;MRUIVO26;19-11-2025;245;05-12-2025;261
PT036050994;01-05-2025;F;MRUIVO13;19-11-2025;213;05-12-2025;234
PT036051101;07-04-2025;M;MRUIVO15;17-12-2025;236;14-01-2026;258
PT036051106;15-04-2025;F;MRUIVO14;17-12-2025;265;06-01-2026;256
PT036051120;14-05-2025;F;MRUIVO14;17-12-2025;199;06-01-2026;220
PT036052936;21-04-2025;M;MRUIVO26;19-11-2025;284;05-12-2025;321
PT036052993;16-02-2025;F;TROLHO89;24-10-2025;262;26-01-2026;374
PT036055388;02-05-2025;F;TROLHO89;06-10-2025;184;26-01-2026;307
PT036055401;02-05-2025;M;TROLHO18;06-10-2025;236;26-01-2026;368
PT036055406;02-05-2025;M;TROLHO2;07-08-2025;160;26-01-2026;396
PT036060271;02-04-2025;M;MRUIVO21;19-01-2026;403;19-01-2026;403
PT036063982;15-04-2025;M;MRUIVO16;19-01-2026;263;19-01-2026;263
PT036063987;03-05-2025;M;MRUIVO21;20-01-2026;238;20-01-2026;238
PT036064613;19-03-2025;F;MRUIVO10;26-11-2025;243;22-12-2025;272
PT036064637;17-04-2025;F;MRUIVO10;26-11-2025;247;22-12-2025;253
PT036065467;08-05-2025;M;MRUIVO19;31-12-2025;192;23-01-2026;224
PT036065481;02-06-2025;M;MRUIVO19;31-12-2025;232;23-01-2026;282
PT036065486;11-06-2025;F;MRUIVO10;31-12-2025;222;23-01-2026;249
PT036066551;30-04-2025;M;TROLHO16;22-08-2025;202;28-01-2026;412
PT036067560;16-02-2025;F;TROLHO91;03-10-2025;234;26-01-2026;385
PT036067565;16-02-2025;M;TROLHO15;03-10-2025;242;26-01-2026;370
PT036067584;19-02-2025;M;MRUIVO17;03-10-2025;246;07-01-2026;259
PT036067589;20-02-2025;M;TROLHO17;03-10-2025;266;27-01-2026;450
PT036067602;15-02-2025;F;MRUIVO14;02-10-2025;200;07-01-2026;218
PT036067607;01-06-2025;F;TROLHO60;31-10-2025;160;26-01-2026;240
PT036067626;01-03-2025;M;ENFERMARIA MR;18-11-2025;138;07-01-2026;154
PT036072613;01-03-2025;F;MRUIVO10;26-11-2025;259;22-12-2025;295
PT036072618;04-03-2025;M;MRUIVO18;26-11-2025;285;22-12-2025;345
PT036072632;06-03-2025;F;MRUIVO10;26-11-2025;196;22-12-2025;228
PT036072637;10-03-2025;F;MRUIVO10;28-11-2025;281;22-12-2025;326
PT036072651;14-03-2025;F;MRUIVO10;28-11-2025;268;22-12-2025;312
PT036072656;17-03-2025;F;MRUIVO10;28-11-2025;264;22-12-2025;307
PT036072670;19-03-2025;F;MRUIVO10;28-11-2025;243;22-12-2025;305
PT036072675;23-03-2025;F;MRUIVO10;26-11-2025;264;22-12-2025;298
PT036072699;28-03-2025;M;MRUIVO18;28-11-2025;311;22-12-2025;358
PT036072712;08-05-2025;M;MRUIVO18;26-11-2025;191;22-12-2025;225
PT036072717;11-05-2025;F;MRUIVO10;26-11-2025;215;22-12-2025;254
PT036072731;17-05-2025;F;MRUIVO10;26-11-2025;216;22-12-2025;240
PT036072736;20-05-2025;M;MRUIVO18;28-11-2025;317;22-12-2025;368
PT036072750;03-06-2025;F;MRUIVO10;09-12-2025;218;22-12-2025;261
PT036072779;12-06-2025;M;MRUIVO18;09-12-2025;323,3;22-12-2025;331
PT036085885;16-09-2025;M;MRUIVO21;20-01-2026;271;20-01-2026;271
PT036086030;15-03-2025;M;TROLHO11;10-10-2025;174;28-01-2026;292
PT036086059;15-03-2025;M;TROLHO11;10-10-2025;194;28-01-2026;344
PT036088435;18-03-2025;F;MRUIVO10;28-11-2025;215;22-12-2025;241
PT036089260;20-04-2025;M;MRUIVO20;23-01-2026;214;23-01-2026;214
PT036089265;22-04-2025;F;MRUIVO9;23-01-2026;220;23-01-2026;220
PT036089826;16-05-2025;F;MRUIVO10;05-12-2025;237;22-12-2025;249
PT036094375;27-04-2025;M;MRUIVO16;19-01-2026;291;19-01-2026;291
PT036094450;15-03-2025;M;TROLHO13;09-10-2025;254;27-01-2026;406
PT036094455;25-03-2025;M;TROLHO11;09-10-2025;226;28-01-2026;386
PT036094474;30-03-2025;M;TROLHO13;09-10-2025;308;27-01-2026;450
PT036095501;27-03-2025;F;TROLHO60;03-10-2025;174;26-01-2026;284
PT036095506;28-03-2025;M;TROLHO17;03-10-2025;228;27-01-2026;420
PT036095520;31-03-2025;F;TROLHO91;03-10-2025;216;26-01-2026;352
PT036095525;01-04-2025;M;TROLHO17;03-10-2025;226;27-01-2026;400
PT036095563;01-04-2025;M;MRUIVO21;19-01-2026;313;19-01-2026;313
PT036095568;08-04-2025;F;MRUIVO12;13-01-2026;307;13-01-2026;307
PT036095780;15-04-2025;M;MRUIVO26;14-11-2025;222;05-12-2025;275
PT036095785;29-04-2025;M;MRUIVO26;14-11-2025;214;05-12-2025;240
PT036096176;10-04-2025;M;MRUIVO16;20-01-2026;250;20-01-2026;250
PT036098250;19-06-2025;F;MRUIVO10;31-12-2025;246;23-01-2026;282
PT036098330;09-07-2025;F;MRUIVO10;31-12-2025;224;23-01-2026;244
PT036098354;14-07-2025;M;ENF, TR FRISIOS;30-12-2025;164;22-01-2026;196
PT036098373;12-08-2025;M;ENF, TR FRISIOS;30-12-2025;148;22-01-2026;185
PT036098397;03-08-2025;F;MRUIVO10;31-12-2025;162;23-01-2026;194
PT036099226;28-05-2025;F;MRUIVO13;19-11-2025;231;05-12-2025;243
PT036099269;22-04-2025;M;MRUIVO17;05-12-2025;195;06-01-2026;235
PT036100021;08-05-2025;M;MRUIVO22;12-11-2025;198;28-11-2025;209
PT036108461;23-04-2025;M;TROLHO13;10-10-2025;288;27-01-2026;442
PT036108485;01-05-2025;M;TROLHO11;10-10-2025;224;28-01-2026;384
PT036108626;30-06-2025;M;MRUIVO20;20-01-2026;250;20-01-2026;250
PT036108664;14-09-2025;M;MRUIVO16;20-01-2026;280;20-01-2026;280
PT036110025;15-05-2025;M;TROLHO11;10-10-2025;252;28-01-2026;408
PT036123112;27-04-2025;F;MRUIVO9;20-01-2026;200;20-01-2026;200
PT036124706;20-08-2025;F;MRUIVO12;13-01-2026;296;13-01-2026;296
PT036127115;15-04-2025;F;MRUIVO14;12-12-2025;172;06-01-2026;218
PT036127191;05-05-2025;M;MRUIVO21;16-01-2026;302;16-01-2026;302
PT036135214;30-04-2025;M;MRUIVO26;14-11-2025;161;05-12-2025;189
PT036135290;23-07-2025;F;MRUIVO12;13-01-2026;310;13-01-2026;310
PT036135313;24-07-2025;F;MRUIVO9;20-01-2026;270;20-01-2026;270
PT036136049;10-06-2025;M;MRUIVO21;20-01-2026;213;20-01-2026;213
PT036136162;06-06-2025;F;TROLHO91;26-09-2025;236;26-01-2026;368
PT036136167;07-06-2025;F;MRUIVO13;18-11-2025;280;05-12-2025;285
PT036138043;28-05-2025;F;MRUIVO14;17-12-2025;281;06-01-2026;297
PT036140688;18-04-2025;M;MRUIVO18;26-11-2025;282;22-12-2025;309
PT036143092;21-04-2025;M;TROLHO95;31-10-2025;212;30-12-2025;253
PT036143313;17-08-2025;M;TROLHO9;31-10-2025;308;27-01-2026;434
PT036143318;17-08-2025;M;TROLHO9;31-10-2025;256;27-01-2026;430
PT036143337;19-08-2025;M;TROLHO9;31-10-2025;269;27-01-2026;420
PT036147410;01-07-2025;M;TROLHO11;07-10-2025;214;28-01-2026;344
PT036147415;02-07-2025;M;TROLHO13;07-10-2025;246;27-01-2026;396
PT036147439;10-07-2025;F;TROLHO91;07-10-2025;208;26-01-2026;331
PT036189090;30-07-2025;M;TROLHO11;10-10-2025;238;28-01-2026;380
PT124590348;25-02-2025;F;MRUIVO10;28-11-2025;208;22-12-2025;248
PT124592729;15-03-2025;M;MRUIVO18;28-11-2025;249;22-12-2025;275
PT124778765;16-08-2025;M;ENF, TR FRISIOS;30-12-2025;155;22-01-2026;199
PT133921263;14-11-2024;M;TROLHO1;01-04-2025;148;28-01-2026;470
